,CustomerID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,Overall_Score,Segment
0,12346,-326,2,0.0,0,0,0,0,Low Value
1,12350,-310,17,334.4,0,0,0,0,Low Value
2,12373,-311,14,364.6,0,0,0,0,Low Value
3,12377,-315,77,1628.12,0,0,0,0,Low Value
4,12386,-338,10,401.9,0,0,0,0,Low Value
5,12401,-303,5,84.3,0,0,0,0,Low Value
6,12402,-323,11,225.6,0,0,0,0,Low Value
7,12410,-301,28,681.0799999999999,0,0,0,0,Low Value
8,12441,-367,11,173.55,0,0,0,0,Low Value
9,12489,-336,15,334.93,0,0,0,0,Low Value
10,12503,-338,1,-1126.0,0,0,0,0,Low Value
11,12505,-301,1,-4.5,0,0,0,0,Low Value
12,12515,-353,16,383.7,0,0,0,0,Low Value
13,12551,-358,10,168.0,0,0,0,0,Low Value
14,12559,-311,22,536.21,0,0,0,0,Low Value
15,12561,-303,16,238.85,0,0,0,0,Low Value
16,12574,-316,11,218.45,0,0,0,0,Low Value
17,12591,-317,26,452.84999999999997,0,0,0,0,Low Value
18,12605,-365,3,-7.5,0,0,0,0,Low Value
19,12651,-335,9,114.0,0,0,0,0,Low Value
20,12652,-322,51,914.53,0,0,0,0,Low Value
21,12665,-325,4,61.75,0,0,0,0,Low Value
22,12666,-359,2,-227.44,0,0,0,0,Low Value
23,12672,-330,10,225.89999999999998,0,0,0,0,Low Value
24,12686,-372,7,89.14,0,0,0,0,Low Value
25,12707,-292,33,603.42,0,0,0,0,Low Value
26,12725,-371,24,427.8,0,0,0,0,Low Value
27,12734,-353,4,110.39999999999999,0,0,0,0,Low Value
28,12735,-315,43,779.5699999999999,0,0,0,0,Low Value
29,12736,-333,4,234.0,0,0,0,0,Low Value
30,12738,-372,11,155.35,0,0,0,0,Low Value
31,12764,-317,45,1693.88,0,0,0,0,Low Value
32,12791,-374,2,192.60000000000002,0,0,0,0,Low Value
33,12793,-335,24,545.48,0,0,0,0,Low Value
34,12797,-360,17,194.18,0,0,0,0,Low Value
35,12829,-322,12,253.05,0,0,0,0,Low Value
36,12855,-373,3,38.1,0,0,0,0,Low Value
37,12870,-366,2,-14.899999999999999,0,0,0,0,Low Value
38,12872,-327,66,599.97,0,0,0,0,Low Value
39,12943,-301,1,-3.75,0,0,0,0,Low Value
40,12956,-306,19,108.07,0,0,0,0,Low Value
41,12988,-292,92,535.32,0,0,0,0,Low Value
42,13002,-318,7,120.94999999999999,0,0,0,0,Low Value
43,13008,-323,15,178.46999999999997,0,0,0,0,Low Value
44,13011,-372,3,50.550000000000004,0,0,0,0,Low Value
45,13033,-357,11,190.55,0,0,0,0,Low Value
46,13065,-373,14,205.86,0,0,0,0,Low Value
47,13108,-373,10,350.06,0,0,0,0,Low Value
48,13144,-333,3,110.95,0,0,0,0,Low Value
49,13161,-313,8,112.75,0,0,0,0,Low Value
50,13187,-337,37,236.02,0,0,0,0,Low Value
51,13270,-366,1,590.0,0,0,0,0,Low Value
52,13284,-323,14,196.15,0,0,0,0,Low Value
53,13295,-360,11,197.95000000000002,0,0,0,0,Low Value
54,13304,-351,21,300.42,0,0,0,0,Low Value
55,13328,-316,17,1308.48,0,0,0,0,Low Value
56,13369,-354,19,263.75,0,0,0,0,Low Value
57,13370,-366,44,721.32,0,0,0,0,Low Value
58,13385,-330,35,534.57,0,0,0,0,Low Value
59,13494,-312,18,316.26000000000005,0,0,0,0,Low Value
60,13506,-312,29,452.82,0,0,0,0,Low Value
61,13551,-319,4,91.80000000000001,0,0,0,0,Low Value
62,13581,-309,10,118.0,0,0,0,0,Low Value
63,13584,-307,24,142.4,0,0,0,0,Low Value
64,13600,-312,19,219.52,0,0,0,0,Low Value
65,13615,-313,24,399.99,0,0,0,0,Low Value
66,13672,-301,16,-71.46,0,0,0,0,Low Value
67,13693,-325,4,-32.0,0,0,0,0,Low Value
68,13703,-318,1,99.5,0,0,0,0,Low Value
69,13706,-303,20,330.79,0,0,0,0,Low Value
70,13747,-374,1,79.6,0,0,0,0,Low Value
71,13786,-367,7,230.39999999999998,0,0,0,0,Low Value
72,13800,-310,33,558.32,0,0,0,0,Low Value
73,13807,-367,7,112.6,0,0,0,0,Low Value
74,13809,-305,12,155.05,0,0,0,0,Low Value
75,13819,-302,36,1140.35,0,0,0,0,Low Value
76,13829,-359,1,-102.0,0,0,0,0,Low Value
77,13859,-326,28,201.16,0,0,0,0,Low Value
78,13874,-358,18,540.45,0,0,0,0,Low Value
79,13893,-298,21,821.1,0,0,0,0,Low Value
80,13898,-326,12,155.93,0,0,0,0,Low Value
81,13922,-352,7,172.25,0,0,0,0,Low Value
82,13932,-295,16,307.4,0,0,0,0,Low Value
83,13948,-361,3,102.0,0,0,0,0,Low Value
84,13958,-372,5,-102.45,0,0,0,0,Low Value
85,13963,-308,35,664.54,0,0,0,0,Low Value
86,14068,-320,24,265.85,0,0,0,0,Low Value
87,14082,-365,29,182.25,0,0,0,0,Low Value
88,14090,-325,1,76.32000000000001,0,0,0,0,Low Value
89,14119,-354,1,-19.9,0,0,0,0,Low Value
90,14130,-319,67,483.86,0,0,0,0,Low Value
91,14142,-373,22,311.81,0,0,0,0,Low Value
92,14176,-297,32,574.0,0,0,0,0,Low Value
93,14185,-331,3,197.65,0,0,0,0,Low Value
94,14213,-372,5,-1192.2,0,0,0,0,Low Value
95,14237,-373,9,161.0,0,0,0,0,Low Value
96,14238,-326,8,146.85,0,0,0,0,Low Value
97,14248,-318,8,302.58,0,0,0,0,Low Value
98,14270,-332,29,492.65000000000003,0,0,0,0,Low Value
99,14355,-366,11,174.4,0,0,0,0,Low Value
100,14368,-320,8,155.0,0,0,0,0,Low Value
101,14371,-295,4,100.5,0,0,0,0,Low Value
102,14373,-358,4,76.55,0,0,0,0,Low Value
103,14386,-297,7,142.4,0,0,0,0,Low Value
104,14411,-311,14,1063.0,0,0,0,0,Low Value
105,14413,-362,23,122.7,0,0,0,0,Low Value
106,14431,-299,22,397.76,0,0,0,0,Low Value
107,14438,-306,9,131.9,0,0,0,0,Low Value
108,14439,-320,32,2661.24,0,0,0,0,Low Value
109,14457,-311,4,113.64,0,0,0,0,Low Value
110,14496,-312,19,538.8100000000001,0,0,0,0,Low Value
111,14497,-301,31,457.47,0,0,0,0,Low Value
112,14549,-311,56,289.24,0,0,0,0,Low Value
113,14576,-372,1,35.400000000000006,0,0,0,0,Low Value
114,14589,-372,3,39.75,0,0,0,0,Low Value
115,14600,-306,25,393.33000000000004,0,0,0,0,Low Value
116,14627,-312,5,-21.85,0,0,0,0,Low Value
117,14679,-372,1,-2.55,0,0,0,0,Low Value
118,14729,-374,71,313.49,0,0,0,0,Low Value
119,14760,-294,7,53.8,0,0,0,0,Low Value
